"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00092811","MIAMI BEACH, FL US","2022-01-01","0.0",",,7,0700","20.0",",,7","16.7",",,7","18.3",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-02","0.0",",,7,0700","21.1",",,7","17.8",",,7","19.4",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-03","0.0",",,7,0700","20.0",",,7","16.1",",,7","18.3",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-04","0.0",",,7,0700","18.9",",,7","15.6",",,7","17.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-05","0.0",",,7,0700","22.8",",,7","17.2",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-06","0.0",",,7,0700","20.0",",,7","14.4",",,7","15.6",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-07","0.0",",,7,0700","23.9",",,7","15.6",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-08","0.0",",,7,0700","25.6",",,7","18.3",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-09","0.0",",,7,0700","25.0",",,7","17.2",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-10","0.0",",,7,0700","20.0",",,7","17.2",",,7","17.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-11","0.0",",,7,0700","18.9",",,7","15.6",",,7","16.7",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-12","33.5",",,7,0700","22.2",",,7","16.7",",,7","19.4",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-13","0.0",",,7,0700","21.1",",,7","17.8",",,7","18.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-14","0.0",",,7,0700","18.9",",,7","10.0",",,7","12.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-15","0.0",",,7,0700","16.1",",,7","12.2",",,7","13.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-16","5.6",",,7,0700","17.2",",,7","13.3",",,7","14.4",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-17","0.0",",,7,0700","14.4",",,7","9.4",",,7","11.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-18","0.0",",,7,0700","13.3",",,7","10.0",",,7","11.7",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-19","0.0",",,7,0700","15.6",",,7","11.7",",,7","14.4",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-20","8.4",",,7,0700","18.3",",,7","14.4",",,7","16.7",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-21","2.5",",,7,0700","18.9",",,7","16.7",",,7","17.8",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-22","0.0",",,7,0700","17.8",",,7","11.1",",,7","15.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-23","0.0",",,7,0700","15.0",",,7","4.4",",,7","7.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-24","0.0",",,7,0700","7.8",",,7","4.4",",,7","5.6",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-25","0.0",",,7,0700","16.7",",,7","5.6",",,7","14.4",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-26","0.0",",,7,0700","21.7",",,7","14.4",",,7","20.0",",,7,0700"
